rank,name,king,pic,dir,intro
76,蝴蝶效应,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,"
                            导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...",人的命运被自己瞬间的抉择改变。
77,入殓师,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,"
                            导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...",死可能是一道门，逝去并不是终结，而是超越，走向下一程。
78,春光乍泄,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...",爱情纠缠，男女一致。
79,大闹天宫,9.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,"
                            导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...",经典之作，历久弥新。
80,玛丽和马克思,8.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1820615077.jpg,"
                            导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...","你是我最好的朋友，你是我唯一的朋友 。"
81,末代皇帝,9.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452088641.jpg,"
                            导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...",“不要跟我比惨，我比你更惨”再适合这部电影不过了。
82,心灵捕手,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,"
                            导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...",人生中应该拥有这样的一段豁然开朗。
83,阳光灿烂的日子,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p967457079.jpg,"
                            导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao",一场华丽的意淫。
84,幽灵公主,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...",人与自然的战争史诗。
85,第六感,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,"
                            导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...",深入内心的恐怖，出人意料的结局。
86,重庆森林,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,"
                            导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...",寂寞没有期限。
87,布达佩斯大饭店,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,"
                            导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...",小清新的故事里注入了大历史的情怀。
88,禁闭岛,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,"
                            导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...",昔日翩翩少年，今日大腹便便。
89,哈利·波特与魔法石,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,"
                            导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint",童话世界的开端。
